Business_ID,Cuisine_Type,Name,Address,Coordinates,Number_of_Reviews,Rating,Zipcode
r-izNItUH4ugnFodUOZX2A,Korean,international-wings-factory-new-york,"1762 1st Ave, New York, NY 10128","(40.7801834538692, -73.9467542692273)",398,4.5,10128
xYCQKi2mk4PJ2UioojU06g,Korean,90-degree-coffee-shop-brooklyn,"5715 5th Ave, Brooklyn, NY 11220","(40.6408, -74.01461)",8,5,11220
UT5Vvn6l8kjLYReD-sU1DQ,Korean,chaamlex-new-york,"34 Lexington Ave, New York, NY 10010","(40.74004, -73.98453)",181,4,10010
YMh3vH--fzLqiOAyL_3T5w,Korean,gaijin-astoria-3,"37-12 31st Ave, Astoria, NY 11103","(40.7616429510725, -73.9183799922466)",279,4.5,11103
5QgBCrAbXbM1ORiqZDrBPQ,Korean,cha-an-new-york,"230 E 9th St, Fl 2, New York, NY 10003","(40.72947, -73.98813)",1680,4,10003
jhyg04zQZqW_HWLq5qjsMQ,Korean,snowfox-cafe-new-york,"24 E 23rd St, New York, NY 10010","(40.74056, -73.98799)",108,3.5,10010
pTMnHb_W3sKqS8oCzjHdVA,Korean,senya-new-york,"109 1st Ave, New York, NY 10003","(40.7269015463545, -73.986101118587)",217,4,10003
MhceeLrM2_3mcKw5EGLY6A,Korean,pure-thai-cookhouse-new-york,"766 9th Ave, New York, NY 10019","(40.764291, -73.988159)",2363,4,10019
1MqGlFP3b7H77fzUkJMKgw,Korean,mooncake-foods-new-york,"28 Watts St, New York, NY 10013","(40.723596182527, -74.00409635108)",502,4,10013
bNRoo8msh7gx91lb0f9MzQ,Korean,k-town-chicken-and-hof-new-york-2,"34 W 32nd St, New York, NY 10001","(40.7478785556871, -73.9871722222901)",1,5,10001
U7xbXE1kx7613vhCQVZ14Q,Korean,juk-story-queens-3,"40-16 150th St, Queens, NY 11354","(40.7632547456775, -73.8142740726471)",3,5,11354
TwxP5xU_xyzlf7SVzCnpuA,Korean,proong-noodle-bar-new-york-6,"347 1st Ave, New York, NY 10010","(40.73528, -73.98003)",108,4.5,10010
5J7C1hPiO4-_9tXAcKI6AQ,Korean,bunsmith-brooklyn-2,"445 Albee Square W, Brooklyn, NY 11201","(40.6911972950438, -73.9829608798027)",27,4,11201
wbOeQWie2YoRWuNkiI5BmA,Korean,mighty-quinns-barbeque-new-york-5,"75 Greenwich Ave, New York, NY 10014","(40.7366742117697, -74.0013010473027)",392,3.5,10014
kN3rkbjvqkY62CDRYUVz4g,Korean,yopparai-new-york,"151 Rivington St, Fl 1, New York, NY 10002","(40.71919, -73.98571)",206,4.5,10002
8vuX_QAzv6UVmcDHoEbkww,Korean,bogota-sports-cafe-bogota,"30 Cross St, Bogota, NJ 07603","(40.8707339, -74.0332311)",1,5,7603
36dxW3YTVIZEuDCpHTr4fA,Korean,dong-hae-susan-palisades-park,"445 Grand Ave, Palisades Park, NJ 07650","(40.853969, -73.999453)",43,3.5,7650
w2iGKUXTxl-8_6iAdjjRUQ,Korean,dallas-bbq-new-york-2,"261 8th Ave, New York, NY 10011","(40.74569, -73.99843)",609,3,10011
PK7xvOMIjLOnuAC9oupggw,Korean,the-pennsy-new-york,"2 Pennsylvania Plz, New York, NY 10121","(40.750305, -73.9917)",336,3.5,10121
EXEDl7BOLZksz3Uy_RVFhw,Korean,yamato-restaurant-brooklyn,"168 7th Ave, Brooklyn, NY 11215","(40.67192, -73.97758)",266,4,11215
tFFLetrWW6-7KW74eryspQ,Korean,mama-sushi-new-york-2,"3569 Broadway, New York, NY 10031","(40.82733, -73.95013)",289,3.5,10031
wqdFd3DZD_uTXRW784mFkg,Korean,a-pous-taste-brooklyn-2,"963 Grand St, Brooklyn, NY 11211","(40.71326, -73.93616)",35,4.5,11211
pqebqpVTT8bR_s9iEu8dOA,Korean,curry-ya-new-york,"214 E 10th St, New York, NY 10003","(40.72922, -73.98604)",694,4,10003
kNOr6_g6QfBHdhf89j3g5w,Korean,taiwan-pork-chop-house-new-york,"3 Doyers St, New York, NY 10013","(40.71424, -73.99799)",384,4,10013
wcs0Qm2PshPz0ifTsJK3YA,Korean,dainobu-new-york,"129 E 47th St, New York, NY 10017","(40.7546157836914, -73.9731292724609)",200,3.5,10017
M7Ok9vs_TutG_vf859EP2Q,Korean,namhan-sansung-korean-restaurant-palisades-park,"500 10th St, Palisades Park, NJ 07650","(40.8468318419447, -73.9848739653826)",9,3.5,7650
9xRIcn0jTyvWNH9aBO3oAA,Korean,kenka-new-york,"25 St Marks Pl, New York, NY 10003","(40.72913, -73.988465)",1497,3.5,10003
0baScKxfNaEquegQ5uUBuQ,Korean,seoul-lee-korean-barbecue-new-york,"Madison Square Park, 1107 Broadway, New York, NY 10035","(40.7424806803465, -73.989225178957)",25,3,10035
pepM7-yv4-jCT6S1nl6fPg,Korean,asian-spicy-curry-pop-up-new-york,"46 Mulberry St, New York, NY 10013","(40.715031, -73.99931)",128,4.5,10013
QR1YIRzFjd2bi5iBzT9zXg,Korean,blue-ribbon-sushi-new-york,"119 Sullivan St, New York, NY 10012","(40.72612, -74.0025299)",1047,4,10012
Fv6ueSQwc_ITpXEhybHvtA,Korean,haru-sushi-new-york-16,"229 West 43rd St, Unit 221, New York, NY 10036","(40.7574225387188, -73.9874100349182)",681,3.5,10036
_7lJD4cLAFEp0xCOacUy5g,Korean,hanyang-boonshik-flushing-2,"150-51 Northern Blvd, Flushing, NY 11354","(40.76546, -73.81324)",42,3.5,11354
1CMcxuJaEdYPtehya5Ll6g,Korean,spot-karaoke-and-lounge-new-york-2,"34 W 32nd St, Fl 9, New York, NY 10001","(40.747685, -73.987361)",345,4,10001
Guj3sESHrIGDzezSXSInNg,Korean,chorus-line-new-york,"1410 Broadway, Fl 2, New York, NY 10018","(40.75332, -73.98698)",1,5,10018
6AD684cLq5kSKSf3naUhcg,Korean,stanford-east-sake-bar-new-york-3,"43 W 32nd St, New York, NY 10001","(40.74814, -73.98755)",66,4,10001
dEp2ubj8SRGD32N3yw2h_A,Korean,noodlelove-new-york-2,"192 Mott St, New York, NY 10012","(40.7209, -73.9956235)",47,4,10012
MXYtu8-0eNkW6L4firJfcw,Korean,chinatown-restaurant-new-york-3,"1650 3rd Ave, New York, NY 10128","(40.78286, -73.95126)",248,3,10128
O9WmKufAUqDM0j2HpgLVlw,Korean,tamashii-ramen-astoria,"2905 Broadway, Astoria, NY 11106","(40.7628026, -73.926578)",648,4,11106
zj4vqgljRhxwWlvttgFRKQ,Korean,wagamama-nomad-new-york,"210 5th Ave, New York, NY 10010","(40.74336, -73.98873)",709,3.5,10010
00mykkev3tKCjTsKV60yOA,Korean,sushi-of-gari-46-new-york,"347 W 46th St, New York, NY 10036","(40.76072, -73.98957)",650,4,10036
9o4y3IqpFDaj8FddJ6oi2A,Korean,clement-new-york-13,"700 5th Ave, New York, NY 10019","(40.7616602403771, -73.9752098617798)",132,4,10019
ya4nQkuVH1ZnmNp9m1yISg,Korean,tatsu-ramen-new-york,"167 1st Ave, New York, NY 10003","(40.72908, -73.98446)",277,4,10003
w1sd0Z-X1W3PLaHHeUdD5w,Korean,boom-boom-chicken-fort-lee-2,"240 Main St, Fort Lee, NJ 07024","(40.851714, -73.9719303)",215,4,7024
WaE2Uab1AJA3myn-4WNPdg,Korean,shumuwu-queens,"141-41 Northern Blvd, Queens, NY 11354","(40.7645412075398, -73.8249415531754)",3,4.5,11354
GazJ5_JArwtAacygzxqDIQ,Korean,nadoori-new-york,"105 E 9th St, New York, NY 10003","(40.7305374145508, -73.9900512695312)",5,3,10003
